.,id,Nombre,Salario
,1,Leandro,2000000.0
,2,Christian,3000000.0
,3,Juan Diego,4000000.0
,4,Loren,5000000.0
,1,Leandro sanchez,4000000.0
,2,Christian Sanchez,45000000.0
,3,Armando Casas,6000000.0
,4,Ali Baba,15000000.0
,7,Michin Botero,6000000.0
,8,Michin boloco,9000000.0
,9,Elber Gomez Torba,12000000.0
,10,Wisin,12000000.0
,11,Yandel,11000000.0
,12,Carlos Cuello,3000000.0
,1,Leandro Sanchez,12000000.0
,2,christian Sanchez,7000000.0
,3,William Rincon,8500000.0
,4,Juan Orozco,5500000.0
,5,Armando Casas,3500000.0
